content,Pays,Provenance
GOOD GAME! Hope for more update,de,Google Play
Good game. I'm getting the hang of it,de,Google Play
"I'm really enjoying how casual the game is. It's fun seeing your collection grow day by day. Still trying to build a Pikachu deck, it's been very elusive to me.",de,Google Play
Fun games wow,us,Google Play
New but Best 💯,de,Google Play
This is best game for children,us,Google Play
enjoy this,de,Google Play
Really fun and cool art,fr,Google Play
"Great game , I was new to TGC and found it so good",us,Google Play
Keeps crashing. Apparently uncompatible with my device when it was working fine for weeks. Lovely..,us,Google Play
Too many coin flip RnG based mechanics for cards. Prefer strategy over luck. Still good game outside of the pvp,us,Google Play
"I feel like it would have more potential down the line. But, as of right now it's just open a pack and hope for the best for the day. That's right One pack a day unless you do the premium and then you can open two packs. The art and 3d affects are nice coming from the cards. But not worth paying a premium price just to open 2 pack of 5 cards and preying you get the cool cards in a day.",us,Google Play
I want to switch to another Google account but they don't provide that,us,Google Play
"I really enjoy nearly every aspect of this game other than the very slow animations. I find myself waiting for seconds at a time for an animation I can't skip. That's my only actual complaint. Examples would be getting points during battles, certain pack opening animations or navigating in the main screens.",fr,Google Play
Please make it so we can separately see cards we got in English and cards we have gotten in Japanese or other languages. I really wanna put em in display boards.,de,Google Play
very fun so far enjoying it,de,Google Play
it's already a blast to play,de,Google Play
"Extremely simple, artwork-driven game with almost no content except for a thousand kinds of premium currency and heaps in-app purchases. This feels very much like a loot box cash-grab aimed at children. The battling feature is fine for the most part, but you can't attack or even attach energy on turn 1. If you go first, you will be a turn behind for the entire game, and will probably lose. Also the coin flips are really rigged to fail for some reason.",de,Google Play
there are way too many currencies in this. shame that the battles are secondary to the collecting part. they clearly just want to hook some whales for money. shame. they could do better.,de,Google Play
I think you should be able to redeem the tcg cards that come in packs for a few extra cards. Other than that I already love this and can't wait to see the next features,fr,Google Play
love it,fr,Google Play
So much fun!! The cards look fantastic!!,fr,Google Play
Love it.,fr,Google Play
Fun and amazing game. Pretty straightforward and easy to learn. But this game would be even better if dark mode is available. Please make it available 🙏🏻,de,Google Play
Interesting and fun. So many bonuses.,fr,Google Play
"The game is nice, has beautiful graphics, and has lots of potential. All is lacking is more fulfilling daily rewards, at least we should get exactly 12 pack hour glasses everyday for free when we complete our daily rewards so we can open an extra free pack. More rewards on events and more events that could give us free packs and hour glasses and more. Keep up the good work and I hope that my suggestion for the next update would be helpful for the better for the game and other player's experience",us,Google Play
it's actually a really cool app. collecting in real life. and now have an app that you basically do the same thing! haha love it,de,Google Play
"Starts out decent, gets more fun as time goes on, played it a few hours so far and I'm enjoying the strategy now that I'm good at it. The game has a few small issues like playing sound for a couple things even when you have it turned off, would like to see a dark mode in the future. I look forward to whatever new cards they create in the future to add to the strategy, games are quick and exciting.",de,Google Play
"Not fun to play. I was constantly getting screwed in the coin tosses, way more that what would normally be average. I'm a pretty chill person, but I don't recommend this game unless you enjoy being angry.",us,Google Play
"Game runs for about 15 seconds then hard crashes. Reinstalled, restarted device, same thing.",de,Google Play
"People who pore money into it get such an advantage. Takes way way way too long to get 1 pack. All matches seem to lean opponent advantage, lost 95% of all matches so far. Really don't want to play like that.",us,Google Play
got a mf mewtwo,de,Google Play
dope,fr,Google Play
AWESOME,fr,Google Play
"The app has potential, but there are so many little infuriating things that are holding it back. From the way that special event packs have 0 information about what the pull odds are, to simple quality of life things, like being able to quickly quit out of a battle instead of having to wait 30 seconds for a bunch of animations to play out before the game decides to release you.",us,Google Play
"Collecting cards is fun. The battles are nice. But the battle, should not last 20 minutes. Griefers, rage quitters and etc. Are keeping u waiting in a match. The waiting time should decrease if the opposition turn time is depleted. ""You can leave the match, no hostage situation"" Is not a solution.",us,Google Play
A TCG collectors paradise!,de,Google Play
Good for people who love pokemon but bad because of all the flashing lights.,fr,Google Play
nice game,us,Google Play
Fire. Scratches my trading card collecting and battling itch. YGOPro is also a similar app to this but I honestly did not have the time to do all of their missions and dailies. I like that you can be a collector or be competitive at the same time here.,fr,Google Play
brings back so many good memories,us,Google Play
mantap,us,Google Play
love it,de,Google Play
the best Pokémon game!,fr,Google Play
It's incompatible with my other phone so I have no choice but to download it on my old one.. The crashes during battles are disastrous so I suggest that you add more settings regarding graphics so that we could enhance/reduce it further. And something like attack animation skip and/or flare/holo card animation skip could help too for faster and smoother battles.,de,Google Play
"As a big Pokemon fan since i was a kid, i absolutely enjoy and love this game.. Keep up the good work devs!",us,Google Play
It's been a fun game so far!,de,Google Play
It just keeps cashing... Can't get passed the start.,de,Google Play
very fun definitely recommend for the pokemon players out their,fr,Google Play
love love love,us,Google Play
This is the best but i delete it in the first i has the best decks but i delete it because my cellphone is to never mind and i has more apps than games sorry,us,Google Play
If trading isn't locked by rarity I'll be very happy,us,Google Play
IMO it's aight but this game currently feels empty/pointless. I've always found the pokemon TCG a bit lacking. The limited format and card collection on Pokemon TCG Pocket makes it even worse. There is currently almost no room for skill expression in battles. Combining this with lackluster rewards makes PvP feel very hollow. I also don't see the allure of a digital collection. The only fun part of this game is the small rush of opening packs and getting hits. It is free tho so I can't complain,us,Google Play
It's a really good game fun to play on the road and really fun for Pokemon lovers,fr,Google Play
fun pokemon game,de,Google Play
super awesome,fr,Google Play
Its great and very true to original but the meta has already grown toxic from lack of cards ik devs are working hard but any new cards to shake up the mewtwo meta would be great 👍,us,Google Play
Boring. It's a nothing game,de,Google Play
first 😊,de,Google Play
When is the trading update?,de,Google Play
good game bring nostalgia Memory when me collect pokemon card,fr,Google Play
very sigma 👍,de,Google Play
fun,us,Google Play
"I have been for so long for a mobile version of Pokemon tcg and it does not disappoint. My only complaint is that the time it takes when transitioning from one button to another in the menu. Its not long, but it just feels like it. Other than that, im simply enjoying the game. Also can you please add a replay function?",fr,Google Play
It's 👍🏻good but it to yapping,de,Google Play
addicting so far,fr,Google Play
Goodd,de,Google Play
please made gacha easy to get good card,fr,Google Play
its good and my friend suggested it :),fr,Google Play
rating in hope of more interesting things will be seen in future.,us,Google Play
awesome!,fr,Google Play
"The app feels really unfinished in the collecting cards part of this game. The packs only pull 5 cards, which wouldn't be as annoying if the card packs didn't have duplicates in a single pack or if you had more options to pull packs. There's just under 300 cards to collect which doesn't feel like enough even for the start of an app. The app quickly lost its fun in my opinion. The events are a hit or miss, this current event gives out single card packs which i have gotten more duplicates than new",us,Google Play
Cut off my shop for the hell to go in the hell,fr,Google Play
Best game ever,fr,Google Play
Great game already have 3 ex cards and 2 full arts,de,Google Play
"TCG but on your phone, neat idea and making it f2p makes it not as costly as the physical edition.",us,Google Play
Its great for short moments where I can look at my phone throughout the day!,us,Google Play
"You gotta change the way we earn Shop Tickets, we get nothing if opponent is disconnected, leaves or just doesn't give the ""Thanks"". Its a stupid feature where we have to depend upon others to earn the shop tickets. It has happened more than once where opponents just rage quits and you get nothing worth your time. EXP is good and all but its not everything.",de,Google Play
"This game just... ""Hits"" the right way, you know? If you want to just collect? you can. Like to battle? This makes it easy to learn (or relearn if you haven't played in forever) to battle. Yes there are micro transactions, but it's not needed in my opinion. The game is really chill. ... At least for now. Lol",us,Google Play
"Interesting, even not a fan of TCG, I'll try this...",de,Google Play
a very gd game,de,Google Play
addiction,fr,Google Play
Good,de,Google Play
Will update when the concede button actually works. I dont need to be forced to play a game that's over.,de,Google Play
"The deck shuffling probabilities are really ""not random"". The game sets wild coin rolling probabilities, I have a screenshot of a player getting 8 heads in a row, real luck. The more I play the more statistical anoanomalies appear for certain people to selectively win. As of now just expect to fight water articuno decks 80% of the time... fun.",fr,Google Play
This game is amazing,us,Google Play
Overall it's a good game but it locks down way too often. Middle of a battle? Freezes. Opening packs? Freezes. Editing a deck? Freezes. And the battle system does not work through some network firewalls. I have to turn off Wi-Fi and use cell data for a battle. Everything else works fine.,fr,Google Play
love it!,fr,Google Play
LOVE THIS. Please give us dark mode in a future update! It would make the colors and graphics of the cards pop out more! Looking forward to future updates. Nostalgia as I used to collect pokemon cards as a child.,fr,Google Play
Reminds me of the late 90s at Burger King having battle/trade parties 🥳,de,Google Play
This sucks. I thought that it would teach you how to do legit Pokémon battles... you know not the ones like the card game war but the really confusing one but instead it just makes you collect cards. Super boring. Super glitchy horrible one star do not download. Also takes up A LOT of storage.,de,Google Play
"Pay to win , match making is special asf no reason a acc lvl 10 should go against a acc lvl 26. everytime you go to match making people have your weakness element -_- bs game needs better match making",de,Google Play
"The coin flipping mechanic is bad, I did a test of 100 cards that used coin flipping, the results were 88 tails to 12 heads. Second test on misty card resulting in 90 tails to 10 heads. Then I see someone with a pimped out deck as in all full arts get 13 heads on one misty....this might not be the game for f2p players after the first week.",fr,Google Play
Amazing concept but needs more content. Will upgrade to 5 star if amount of content increases,fr,Google Play
GOODD GAMEEE,de,Google Play
"It's like pokemon tcg watered down and out of balance. I do enjoy opening the packs, but my friends who pay money strangely have far superior luck.",fr,Google Play
No report button for names. 12 hours wait to get caterpie. Same boring decks in competitive. Needs way more content and way to get reports on usernames.,fr,Google Play
"Fun, I recommended my friends to play with me. Just sad that I keep getting pikachu during the Lapras drop event :') Edit: Gotten LaprasEX! ~",us,Google Play
I like this game very much The developers had really done a good job but plz add trade option very soon and give us more ways to earn hour glass,us,Google Play
It'll be much better if ex card does not exist. In digimon card game you can prevent losing the game by using 11 memory for hiandromon blocker,fr,Google Play
"Good Game in theory, but there's no skill/lvl scaling for multiplayer battles. So level 3s can/will go against lvl 15s and lose.",us,Google Play
so much fun!,de,Google Play
This game is good but it needs a lot more mission and reward so players can open more pack which is the best part in this game. Its sad that u cant really open more pack in a day. So i hope dev can make this game more fun even for player that cant pay monthly.,de,Google Play
let me spend more money!!!!!!,de,Google Play
"Having a black screen at start, seems like a overlay problem",de,Google Play
this game is not working,us,Google Play
"Can you guys tell us what kind of phone min that can play this game?? I'm so freaking frustrated since all the time , it's just keep on crashing on my phone,i couldn't even download the internal data properly because of the crash,it crash every single time i open,goddamn frustrating",us,Google Play
"Fantastic start to what could potentially be a great mobile version of the Pokèmon TCG. Love the simplified battles, however, could do with a tournament style mode eventually. Little light on cards currently too. Very aesthetically pleasing.",de,Google Play
I can get all the cards from when I was younger without the sadness of being not well off,de,Google Play
good so far but still 12 to open 1 pack? that's a bit to much,de,Google Play
Great cards and very interactive,de,Google Play
runs a bit slow but looks to be a good entry to pokemon tech with so far a very fair economy,de,Google Play
Graphics clean wait times and pull ratio very poor just another pay to win,de,Google Play
"This game needs optimization. I am using Samsung galaxy A03s, yeah its gpu is kinda Potato but still it's a card game it should be able to run it. But no, the game crashes after 3-4 mins. The phone can load cards but not card packs lol. I tried it with my mother's phone which is better than mine and yeah it good. There wasn't any problem on that phone. I wish there was more lower graphics settings",de,Google Play
must open packs.......,de,Google Play
Everything works fine until opening packs..either the screen flickers constantly or the app freezes completely. Only started happening after finishing tutorial battles,de,Google Play
"On one hand, the art, cards and overall app experience is really great and something I've been waiting for for a really long time. But there are some glaring issues - the worst is the matchmaking which will regularly pair you against people five, ten, fifteen levels ahead of you and/or people with a bunch of game-breakingly good Ex cards even when you don't have any. I stopped playing vs battles within a few days, as it simply stopped being fun.",fr,Google Play
cute :),us,Google Play
"Someone needs to fix the coding for coin flips. I'm getting heads around 30% of the time when a properly weighed coin should have 50% accuracy over an extended period of time. After 200 flips, it should be closer to 50%.",de,Google Play
"i love pokemon games,but I never the tcg, but so far it the tutorial isn't too long, and it's all more interesting when you get into this app because the card design looks amazing",fr,Google Play
🤌🏽,us,Google Play
Gotta Catch Em All,fr,Google Play
